,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9286,0.0857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.8514,0.8686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8457,0.8657,0.6914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.8457,0.8486,0.7914,0.3543,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8286,0.8114,0.7886,0.5029,0.2286,0.0000,0.0000,0.0000,0.0000
after_task5,0.8200,0.7914,0.8000,0.6229,0.4686,0.2914,0.0000,0.0000,0.0000
after_task6,0.8171,0.7829,0.7943,0.6714,0.6486,0.4171,0.3000,0.0000,0.0000
after_task7,0.7943,0.7743,0.7600,0.6971,0.7114,0.5200,0.5200,0.2371,0.0000
after_task8,0.7543,0.7571,0.7514,0.7314,0.7229,0.5971,0.6400,0.4543,0.0886
