,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9400,0.0371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.9086,0.7686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8886,0.8143,0.4514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.8829,0.8000,0.6314,0.3171,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8771,0.8114,0.7171,0.5057,0.3943,0.0000,0.0000,0.0000,0.0000
after_task5,0.8714,0.8029,0.7686,0.5914,0.5371,0.2857,0.0000,0.0000,0.0000
after_task6,0.8714,0.7829,0.8086,0.6657,0.6114,0.4000,0.3343,0.0000,0.0000
after_task7,0.8657,0.7686,0.8200,0.7057,0.6657,0.5057,0.5971,0.1286,0.0000
after_task8,0.8571,0.7371,0.8114,0.7543,0.6857,0.5914,0.6657,0.3200,0.0486
