,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.9086,0.8914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8686,0.8200,0.8457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.8371,0.7914,0.8400,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8200,0.7771,0.7943,0.8571,0.8600,0.0000,0.0000,0.0000,0.0000
after_task5,0.8029,0.6629,0.7886,0.8086,0.8571,0.7914,0.0000,0.0000,0.0000
after_task6,0.7571,0.5829,0.7171,0.6714,0.8000,0.7657,0.8314,0.0000,0.0000
after_task7,0.4943,0.5086,0.6343,0.6143,0.7600,0.7314,0.8257,0.8343,0.0000
after_task8,0.4629,0.4571,0.4971,0.5914,0.7229,0.7171,0.7029,0.7486,0.8200
