,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.9086,0.8857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8800,0.8371,0.8343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.8657,0.8057,0.8086,0.8400,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8714,0.8086,0.7943,0.8314,0.8314,0.0000,0.0000,0.0000,0.0000
after_task5,0.8657,0.7886,0.8000,0.8086,0.8371,0.7571,0.0000,0.0000,0.0000
after_task6,0.8571,0.7886,0.8000,0.7629,0.8086,0.7343,0.7457,0.0000,0.0000
after_task7,0.8371,0.7829,0.7914,0.7600,0.8114,0.7371,0.7514,0.7114,0.0000
after_task8,0.8314,0.7743,0.7743,0.7600,0.8029,0.7286,0.7114,0.7000,0.7000
