,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.8629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.7971,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.7600,0.8343,0.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.7486,0.8400,0.8257,0.8171,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.7371,0.8400,0.7886,0.7429,0.7571,0.0000,0.0000,0.0000,0.0000
after_task5,0.7371,0.8229,0.7829,0.7371,0.7343,0.7343,0.0000,0.0000,0.0000
after_task6,0.7229,0.8143,0.7714,0.7286,0.7257,0.7314,0.8571,0.0000,0.0000
after_task7,0.7286,0.7943,0.7457,0.7114,0.7057,0.7286,0.8571,0.7343,0.0000
after_task8,0.7114,0.7914,0.7171,0.7057,0.7171,0.7286,0.8400,0.7457,0.6914
