,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.8629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.8029,0.8486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.7571,0.8314,0.8829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.7400,0.8286,0.8286,0.8200,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.7286,0.8286,0.7914,0.7543,0.7286,0.0000,0.0000,0.0000,0.0000
after_task5,0.7371,0.8086,0.7800,0.7400,0.7257,0.7286,0.0000,0.0000,0.0000
after_task6,0.7229,0.8029,0.7686,0.7457,0.7029,0.7286,0.8571,0.0000,0.0000
after_task7,0.7200,0.7886,0.7400,0.7286,0.6914,0.7200,0.8600,0.7229,0.0000
after_task8,0.6943,0.7800,0.7229,0.7229,0.7000,0.7286,0.8429,0.7314,0.6743
