,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.8400,0.9029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8057,0.8257,0.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.7800,0.7600,0.8114,0.7686,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.7657,0.7571,0.8029,0.7543,0.8457,0.0000,0.0000,0.0000,0.0000
after_task5,0.7371,0.7514,0.7943,0.7514,0.8429,0.7429,0.0000,0.0000,0.0000
after_task6,0.6743,0.7286,0.7543,0.7429,0.8400,0.7343,0.7657,0.0000,0.0000
after_task7,0.6600,0.7229,0.7486,0.7314,0.8400,0.7143,0.7543,0.6343,0.0000
after_task8,0.6486,0.7143,0.7371,0.7057,0.8286,0.7057,0.7400,0.6171,0.7057
