seed,valid,linear_accuracy,linear_forgetting,online_accuracy,online_forgetting,posthoc_accuracy,posthoc_forgetting,frozen_accuracy,frozen_forgetting,titans_gain_over_frozen,oracle_online_gap,final_prototype_alignment,max_state_norm,runtime_sec,device,git_commit,titans_path,frozen_path
0,True,0.607936507936508,-0.030714285714285715,0.6142857142857143,0.2725,0.7453968253968255,0.06714285714285714,0.7114285714285714,0.08464285714285713,-0.09714285714285709,0.13111111111111118,0.9214048981666565,96.22297273727355,3667.1,cuda,9b7e496a5630901483c933d0f3023efda452b324,/home/an/RaybanMeta/uav-continual-learning/artifacts_ncm_head_study/results/resisc45_titans_seed0_ncm-head_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2,/home/an/RaybanMeta/uav-continual-learning/artifacts_ncm_head_study/results/resisc45_ncm_seed0_ncm-frozen_splitcombined31500_v2
1,True,0.6006349206349205,-0.006785714285714277,0.6073015873015873,0.28250000000000003,0.7387301587301587,0.06785714285714285,0.7114285714285713,0.08535714285714287,-0.10412698412698396,0.13142857142857134,0.9089229106903076,120.4526306103329,6549.4,cuda,9b7e496a5630901483c933d0f3023efda452b324,/home/an/RaybanMeta/uav-continual-learning/artifacts_ncm_head_study/results/resisc45_titans_seed1_ncm-head_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2,/home/an/RaybanMeta/uav-continual-learning/artifacts_ncm_head_study/results/resisc45_ncm_seed1_ncm-frozen_splitcombined31500_v2
2,True,0.6222222222222221,-0.03785714285714285,0.6355555555555557,0.24642857142857144,0.7536507936507937,0.061785714285714305,0.7114285714285713,0.09214285714285718,-0.07587301587301565,0.11809523809523803,0.9169565439224243,92.33749309051058,9846.4,cuda,9b7e496a5630901483c933d0f3023efda452b324,/home/an/RaybanMeta/uav-continual-learning/artifacts_ncm_head_study/results/resisc45_titans_seed2_ncm-head_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2,/home/an/RaybanMeta/uav-continual-learning/artifacts_ncm_head_study/results/resisc45_ncm_seed2_ncm-frozen_splitcombined31500_v2
