,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.9057,0.7657,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8971,0.8086,0.4486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.8857,0.8086,0.6257,0.3114,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8829,0.8000,0.7229,0.4886,0.3800,0.0000,0.0000,0.0000,0.0000
after_task5,0.8743,0.7743,0.7571,0.5771,0.5429,0.2600,0.0000,0.0000,0.0000
after_task6,0.8800,0.7743,0.7829,0.6543,0.6143,0.3857,0.3343,0.0000,0.0000
after_task7,0.8657,0.7600,0.8086,0.6857,0.6857,0.5000,0.5971,0.1171,0.0000
after_task8,0.8657,0.7543,0.8057,0.7400,0.7257,0.5514,0.6829,0.3029,0.0314
