,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.8429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.8000,0.8514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.7400,0.8257,0.8714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.7257,0.8029,0.8000,0.7714,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.7171,0.7943,0.7629,0.7000,0.7200,0.0000,0.0000,0.0000,0.0000
after_task5,0.6886,0.7714,0.7400,0.6629,0.7000,0.7171,0.0000,0.0000,0.0000
after_task6,0.7029,0.7714,0.7343,0.6629,0.6714,0.7086,0.8457,0.0000,0.0000
after_task7,0.6971,0.7600,0.7086,0.6514,0.6629,0.6857,0.8429,0.6886,0.0000
after_task8,0.6714,0.7543,0.6914,0.6429,0.6629,0.6771,0.8257,0.6886,0.6743
