,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9086,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.8114,0.8314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8000,0.8629,0.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.7857,0.8371,0.6657,0.2714,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.7914,0.8229,0.7229,0.4057,0.1400,0.0000,0.0000,0.0000,0.0000
after_task5,0.8029,0.8171,0.7571,0.4714,0.2857,0.2343,0.0000,0.0000,0.0000
after_task6,0.7857,0.8314,0.7629,0.5171,0.4457,0.3229,0.1657,0.0000,0.0000
after_task7,0.7686,0.8086,0.7800,0.5429,0.5657,0.4000,0.3514,0.1229,0.0000
after_task8,0.7457,0.7914,0.7714,0.6000,0.6429,0.4857,0.4971,0.2971,0.0400
