,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.8543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.7886,0.8486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.7371,0.8000,0.8514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.7229,0.8086,0.7857,0.7686,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.7286,0.7800,0.7686,0.7086,0.7000,0.0000,0.0000,0.0000,0.0000
after_task5,0.6943,0.7771,0.7457,0.6514,0.7000,0.7200,0.0000,0.0000,0.0000
after_task6,0.6800,0.7714,0.7286,0.6543,0.6686,0.7171,0.8400,0.0000,0.0000
after_task7,0.6829,0.7543,0.7000,0.6429,0.6629,0.6857,0.8314,0.6829,0.0000
after_task8,0.6571,0.7543,0.6686,0.6200,0.6514,0.6800,0.8171,0.6857,0.6771
