,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.9600,0.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.9314,0.7714,0.4457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.9257,0.7886,0.6571,0.2686,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8971,0.8114,0.7543,0.4314,0.3943,0.0000,0.0000,0.0000,0.0000
after_task5,0.8771,0.8200,0.8057,0.5657,0.5371,0.1086,0.0000,0.0000,0.0000
after_task6,0.8629,0.8143,0.8486,0.6400,0.6029,0.2743,0.0886,0.0000,0.0000
after_task7,0.8371,0.8171,0.8400,0.6857,0.6886,0.4143,0.2714,0.1514,0.0000
after_task8,0.8229,0.8257,0.8286,0.6743,0.7743,0.5286,0.3800,0.3571,0.2000
