,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.8457,0.8086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8000,0.7743,0.7943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.7829,0.7600,0.7486,0.8257,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.7400,0.7457,0.7486,0.8314,0.8000,0.0000,0.0000,0.0000,0.0000
after_task5,0.7200,0.7286,0.7314,0.7943,0.8000,0.8314,0.0000,0.0000,0.0000
after_task6,0.6971,0.7143,0.7086,0.7657,0.8000,0.8000,0.7571,0.0000,0.0000
after_task7,0.6886,0.6943,0.7057,0.7629,0.7886,0.8000,0.7514,0.7400,0.0000
after_task8,0.6571,0.6457,0.6686,0.7343,0.7657,0.7943,0.7257,0.7143,0.7914
