,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.9200,0.5771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.9143,0.6943,0.5743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.9000,0.7486,0.7171,0.4629,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8771,0.7857,0.7686,0.6571,0.2886,0.0000,0.0000,0.0000,0.0000
after_task5,0.8600,0.7771,0.7714,0.7514,0.4943,0.0914,0.0000,0.0000,0.0000
after_task6,0.8571,0.7886,0.7914,0.8143,0.6143,0.2714,0.0800,0.0000,0.0000
after_task7,0.8229,0.7943,0.8000,0.8457,0.7257,0.4400,0.2600,0.1943,0.0000
after_task8,0.8057,0.7429,0.7971,0.8371,0.7714,0.5571,0.4714,0.4314,0.2800
