,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.7943,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.7600,0.8343,0.8686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.7343,0.8257,0.8029,0.7943,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.7286,0.8114,0.7714,0.7200,0.7343,0.0000,0.0000,0.0000,0.0000
after_task5,0.7143,0.7857,0.7514,0.6857,0.7200,0.7286,0.0000,0.0000,0.0000
after_task6,0.7086,0.7857,0.7429,0.6857,0.7029,0.7257,0.8514,0.0000,0.0000
after_task7,0.7057,0.7771,0.7257,0.6714,0.6886,0.7086,0.8457,0.7314,0.0000
after_task8,0.6829,0.7743,0.6971,0.6400,0.6857,0.6971,0.8229,0.7286,0.6857
