,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.7543,0.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.7543,0.7886,0.8886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.7143,0.7286,0.8086,0.8657,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.6971,0.6800,0.7600,0.7571,0.7971,0.0000,0.0000,0.0000,0.0000
after_task5,0.6543,0.6286,0.7371,0.7229,0.7886,0.7600,0.0000,0.0000,0.0000
after_task6,0.5971,0.6029,0.6886,0.6914,0.7771,0.7686,0.8829,0.0000,0.0000
after_task7,0.5971,0.5457,0.6429,0.6457,0.7514,0.7514,0.8857,0.7971,0.0000
after_task8,0.5057,0.4943,0.5286,0.5657,0.7400,0.7200,0.8571,0.8057,0.8314
