,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.9171,0.7714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8943,0.8029,0.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.8829,0.8171,0.6486,0.3429,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8829,0.8229,0.7286,0.5143,0.3829,0.0000,0.0000,0.0000,0.0000
after_task5,0.8857,0.8057,0.7886,0.5943,0.5343,0.2971,0.0000,0.0000,0.0000
after_task6,0.8829,0.7914,0.8029,0.6743,0.6286,0.4171,0.3600,0.0000,0.0000
after_task7,0.8857,0.7714,0.8229,0.6857,0.6914,0.5257,0.6171,0.1114,0.0000
after_task8,0.8714,0.7457,0.8200,0.7571,0.7029,0.5943,0.7000,0.3229,0.0257
