,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.9171,0.7657,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.9000,0.8086,0.4686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.8886,0.8143,0.6457,0.3543,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8857,0.8171,0.7343,0.5171,0.3857,0.0000,0.0000,0.0000,0.0000
after_task5,0.8857,0.7971,0.7857,0.6000,0.5600,0.2971,0.0000,0.0000,0.0000
after_task6,0.8886,0.7829,0.8086,0.6600,0.6257,0.4229,0.3600,0.0000,0.0000
after_task7,0.8857,0.7657,0.8200,0.6943,0.6886,0.5200,0.6143,0.1200,0.0000
after_task8,0.8771,0.7314,0.8086,0.7514,0.7000,0.5829,0.7171,0.3171,0.0343
