,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.8714,0.8886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8343,0.8629,0.8257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.8229,0.7686,0.8086,0.7771,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8171,0.7486,0.8057,0.7629,0.7000,0.0000,0.0000,0.0000,0.0000
after_task5,0.8086,0.6886,0.7914,0.7429,0.6886,0.7886,0.0000,0.0000,0.0000
after_task6,0.8000,0.6743,0.7857,0.7400,0.6743,0.7800,0.8171,0.0000,0.0000
after_task7,0.7714,0.6600,0.7686,0.6971,0.6657,0.7543,0.8000,0.7229,0.0000
after_task8,0.7543,0.6457,0.7429,0.6943,0.6600,0.7400,0.8000,0.7171,0.6486
