,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.8943,0.8714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8600,0.8143,0.8343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.8400,0.7829,0.7971,0.8286,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8371,0.7800,0.7743,0.8171,0.8114,0.0000,0.0000,0.0000,0.0000
after_task5,0.8314,0.7400,0.7600,0.7914,0.8057,0.7743,0.0000,0.0000,0.0000
after_task6,0.8257,0.7200,0.7429,0.7429,0.7829,0.7571,0.7314,0.0000,0.0000
after_task7,0.8000,0.7171,0.7429,0.7343,0.7714,0.7429,0.7257,0.6886,0.0000
after_task8,0.7971,0.7057,0.7143,0.7200,0.7600,0.7286,0.6771,0.6571,0.6743
