,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.9000,0.8771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8686,0.8086,0.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.8486,0.7771,0.8029,0.8286,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8429,0.7714,0.7829,0.8171,0.8114,0.0000,0.0000,0.0000,0.0000
after_task5,0.8371,0.7400,0.7686,0.7943,0.8086,0.7743,0.0000,0.0000,0.0000
after_task6,0.8286,0.7314,0.7514,0.7400,0.7829,0.7543,0.7486,0.0000,0.0000
after_task7,0.7971,0.7257,0.7571,0.7257,0.7829,0.7429,0.7514,0.7143,0.0000
after_task8,0.7886,0.7171,0.7229,0.7229,0.7686,0.7286,0.6943,0.6800,0.7000
