,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.9057,0.8914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8686,0.8286,0.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.8371,0.7886,0.8343,0.8543,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8200,0.7686,0.7943,0.8571,0.8543,0.0000,0.0000,0.0000,0.0000
after_task5,0.7971,0.6571,0.7914,0.8057,0.8543,0.7943,0.0000,0.0000,0.0000
after_task6,0.7600,0.5829,0.7171,0.6629,0.8114,0.7600,0.8257,0.0000,0.0000
after_task7,0.5114,0.5114,0.6543,0.6371,0.7857,0.7400,0.8143,0.8057,0.0000
after_task8,0.4514,0.4686,0.4943,0.6029,0.7314,0.7086,0.6971,0.7543,0.8200
