,task0,task1,task2,task3,task4,task5,task6,task7,task8
after_task0,0.9514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task1,0.9086,0.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task2,0.8829,0.8257,0.8314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
after_task3,0.8600,0.8086,0.8057,0.8286,0.0000,0.0000,0.0000,0.0000,0.0000
after_task4,0.8600,0.7971,0.7829,0.8229,0.8114,0.0000,0.0000,0.0000,0.0000
after_task5,0.8600,0.7829,0.8000,0.7914,0.8086,0.7486,0.0000,0.0000,0.0000
after_task6,0.8571,0.7743,0.7800,0.7400,0.7971,0.7286,0.7343,0.0000,0.0000
after_task7,0.8371,0.7771,0.7800,0.7457,0.7886,0.7286,0.7486,0.6943,0.0000
after_task8,0.8314,0.7743,0.7600,0.7514,0.7829,0.7286,0.7086,0.6800,0.6857
